domain,coverage,percentage,medianrank
hadoop.apache.org,170,98.8%,1
issues.apache.org,71,41.3%,2
stackoverflow.com,54,31.4%,5
community.hortonworks.com,38,22.1%,3.5
github.com,35,20.3%,6
community.cloudera.com,16,9.3%,6
slideshare.net,15,8.7%,6
cloudera.com,15,8.7%,7
mvnrepository.com,14,8.1%,4
ibm.com,14,8.1%,7
archive.cloudera.com,13,7.6%,6
hortonworks.com,12,7.0%,5
docs.hortonworks.com,12,7.0%,6
blog.csdn.net,12,7.0%,9
fisheye.apache.org,11,6.4%,6
blog.woopi.org,10,5.8%,4
docs.microsoft.com,9,5.2%,6
blog.cloudera.com,9,5.2%,7
johnjianfang.blogspot.com,8,4.7%,4
cwiki.apache.org,7,4.1%,8
blogs.msdn.microsoft.com,6,3.5%,3
datameer.com,6,3.5%,4
hortonworks.github.io,5,2.9%,2
wiki.apache.org,5,2.9%,4
hbase.apache.org,5,2.9%,6
steveloughran.gitbooks.io,5,2.9%,6
conferences.oreilly.com,5,2.9%,8
java2s.com,5,2.9%,8
elastic.co,5,2.9%,9
community.mapr.com,5,2.9%,10
medium.com,4,2.3%,4
discuss.pivotal.io,4,2.3%,4.5
mail-archives.apache.org,4,2.3%,5
en.wikipedia.org,4,2.3%,5
svn.apache.org,4,2.3%,7
spark.apache.org,4,2.3%,7
informit.com,4,2.3%,7.5
developer.ibm.com,3,1.7%,6
datameer.zendesk.com,3,1.7%,6
dataworkssummit.com,3,1.7%,8
azure.microsoft.com,3,1.7%,9
mapr.com,3,1.7%,9
grepcode.com,3,1.7%,10
dzone.com,2,1.2%,3.5
gethue.com,2,1.2%,4.5
developer.mozilla.org,2,1.2%,4.5
docs.aws.amazon.com,2,1.2%,4.5
forums.aws.amazon.com,2,1.2%,5
eventbrite.com,2,1.2%,5
edureka.co,2,1.2%,5.5
forums.databricks.com,2,1.2%,6
aws.amazon.com,2,1.2%,6.5
hive.apache.org,2,1.2%,6.5
issues.cask.co,2,1.2%,6.5
archive-primary.cloudera.com,2,1.2%,6.5
dotnettricks.com,2,1.2%,7
datadoghq.com,2,1.2%,7
sqrrl.com,2,1.2%,7
pivotalhd.docs.pivotal.io,2,1.2%,7
my.vertica.com,2,1.2%,7
quora.com,2,1.2%,7.5
docs.oracle.com,2,1.2%,7.5
docs.qubole.com,2,1.2%,7.5
support.datastax.com,2,1.2%,8
digitalocean.com,2,1.2%,8.5
cnblogs.com,2,1.2%,9
safaribooksonline.com,2,1.2%,9
pentaho.com,2,1.2%,10
nfc.usda.gov,1,0.6%,1
nationalsecurityagency.github.io,1,0.6%,1
michael-noll.com,1,0.6%,1
exabeam.com,1,0.6%,1
rittmanmead.com,1,0.6%,2
arxiv.org,1,0.6%,2
matthewkwilliams.com,1,0.6%,2
data.qq.com,1,0.6%,2
support.mesosphere.com,1,0.6%,2
nifi.apache.org,1,0.6%,2
docs.mulesoft.com,1,0.6%,2
oreilly.com,1,0.6%,3
wangda.live,1,0.6%,3
intropro.com,1,0.6%,3
techblog.applift.com,1,0.6%,3
sas.com,1,0.6%,3
searchcloudcomputing.techtarget.com,1,0.6%,3
infosecisland.com,1,0.6%,3
flume.apache.org,1,0.6%,4
fibrevillage.com,1,0.6%,4
bryanbende.com,1,0.6%,4
coderwall.com,1,0.6%,4
factual.com,1,0.6%,4
support.apple.com,1,0.6%,4
coursera.org,1,0.6%,4
datastax.com,1,0.6%,4
engineering.pinterest.com,1,0.6%,4
dsc.soic.indiana.edu,1,0.6%,4
infoq.com,1,0.6%,4
hackershell.cn,1,0.6%,4
blog.h2o.ai,1,0.6%,5
funclojure.tumblr.com,1,0.6%,5
ranger.apache.org,1,0.6%,5
rokroskar.github.io,1,0.6%,5
arubanetworks.com,1,0.6%,5
s3.thinkaurelius.com,1,0.6%,5
docs.databricks.com,1,0.6%,5
ci.apache.org,1,0.6%,6
informationweek.com,1,0.6%,6
calab.kaist.ac.kr,1,0.6%,6
commons.apache.org,1,0.6%,6
computerhistory.org,1,0.6%,6
supermicro.com,1,0.6%,6
hadooptutorial.info,1,0.6%,6
weka.sourceforge.net,1,0.6%,6
bogotobogo.com,1,0.6%,6
globenewswire.com,1,0.6%,6
doc.qt.io,1,0.6%,6
docs.confluent.io,1,0.6%,6
ieeexplore.ieee.org,1,0.6%,7
docs.mesosphere.com,1,0.6%,7
discourse.snowplowanalytics.com,1,0.6%,7
splunk.com,1,0.6%,7
moi.vonos.net,1,0.6%,7
streamsets.com,1,0.6%,7
developer.huawei.com,1,0.6%,7
centrify.com,1,0.6%,7
netty.io,1,0.6%,7
brightcomputing.com,1,0.6%,7
joshlong.com,1,0.6%,7
docs.marklogic.com,1,0.6%,7
groups.google.com,1,0.6%,7
aadrake.com,1,0.6%,7
intel.com,1,0.6%,7
azure.cn,1,0.6%,8
sparktutorials.net,1,0.6%,8
bighadoop.wordpress.com,1,0.6%,8
msdn.microsoft.com,1,0.6%,8
mindmajix.com,1,0.6%,8
toodey.com,1,0.6%,8
ogibayashi.github.io,1,0.6%,8
youtube.com,1,0.6%,8
packtpub.com,1,0.6%,8
oozie.apache.org,1,0.6%,8
doc.mapr.com,1,0.6%,8
kafka.apache.org,1,0.6%,8
novetta.com,1,0.6%,8
readwrite.com,1,0.6%,8
slider.incubator.apache.org,1,0.6%,9
acadgild.com,1,0.6%,9
facebook.com,1,0.6%,9
solrtutorial.com,1,0.6%,9
glassdoor.com,1,0.6%,9
pig.apache.org,1,0.6%,9
pdl.cmu.edu,1,0.6%,9
javalibs.com,1,0.6%,9
gurucul.com,1,0.6%,9
eclipsecon.org,1,0.6%,9
linkedin.com,1,0.6%,9
sachinpbuzz.com,1,0.6%,9
c-sharpcorner.com,1,0.6%,9
jianshu.com,1,0.6%,9
infoworld.com,1,0.6%,9
bigdatastudy.net,1,0.6%,9
crazyadmins.com,1,0.6%,9
storm.apache.org,1,0.6%,10
javarevisited.blogspot.com,1,0.6%,10
hop2croft.wordpress.com,1,0.6%,10
hpe.com,1,0.6%,10
henning.kropponline.de,1,0.6%,10
importnew.com,1,0.6%,10
whatis.techtarget.com,1,0.6%,10
docs.azure.cn,1,0.6%,10
docs.wandisco.com,1,0.6%,10
support.sas.com,1,0.6%,10
datasciencecentral.com,1,0.6%,10
dl.ifip.org,1,0.6%,10
ja.stackoverflow.com,1,0.6%,10
threatstack.com,1,0.6%,10
citeseerx.ist.psu.edu,1,0.6%,10
programcreek.com,1,0.6%,10
eagle.apache.org,1,0.6%,10
data-informed.com,1,0.6%,10
